decade,top_mechanism,citation_total,citation_share_pct
1980,AFM fluctuation,21146,29.24353478080487
1980,pure el correlation,16279,22.512792144931545
1980,spin liquid el correlation,13969,19.318213248513345
1980,pure el-ph coupling,11216,15.510994329968193
1980,charge density wave,4097,5.665883003733923
1980,nematic fluctuation,2110,2.917991978979394
1980,bipolaron el-ph coupling,1535,2.1228045913428293
1980,plasmon fluctuation,1215,1.6802655234407413
1980,FM fluctuation,743,1.027520398285161
1990,AFM fluctuation,45368,41.57015100425158
1990,pure el correlation,33437,30.63791965987392
1990,pure el-ph coupling,10413,9.541306260079168
1990,charge density wave,7563,6.929885647265797
1990,spin liquid el correlation,5180,4.746371499780091
1990,bipolaron el-ph coupling,4641,4.252492303181351
1990,nematic fluctuation,1281,1.173764843864536
1990,plasmon fluctuation,890,0.8154962615452279
1990,FM fluctuation,363,0.33261252015833453
2000,AFM fluctuation,29185,36.47988200442484
2000,pure el correlation,17877,22.345412047048235
2000,charge density wave,15264,19.079284526830243
2000,spin liquid el correlation,9131,11.413322000424984
2000,pure el-ph coupling,5594,6.992237791082834
2000,FM fluctuation,1474,1.8424309088409185
2000,nematic fluctuation,1128,1.4099471269827382
2000,bipolaron el-ph coupling,350,0.4374835943652113
2010,charge density wave,18962,43.531761518859476
2010,AFM fluctuation,12586,28.894143575380518
2010,pure el correlation,5993,13.75835074267086
2010,nematic fluctuation,2840,6.519892559516977
2010,pure el-ph coupling,1785,4.097890217865424
2010,spin liquid el correlation,876,2.011065451456645
2010,FM fluctuation,306,0.702495465919787
2010,plasmon fluctuation,211,0.48440046833031064
2020,pure el correlation,1770,41.03872014838859
2020,charge density wave,1191,27.614189659169952
2020,AFM fluctuation,730,16.92557384651055
2020,nematic fluctuation,216,5.008115001159286
2020,pure el-ph coupling,152,3.5242290748898677
2020,plasmon fluctuation,129,2.990957570136796
2020,FM fluctuation,101,2.341757477393925
2020,spin liquid el correlation,24,0.5564572223510318
