pure el-ph coupling,bipolaron el-ph coupling,AFM fluctuation,FM fluctuation,charge density wave,nematic fluctuation,plasmon fluctuation,pure el correlation,spin liquid el correlation,id,n_paraphrases
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1124436034,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1004332925,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1023745412,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048898662,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1059113085,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048231159,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1040770482,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1005191921,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.0,pub.1132472648,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060580759,5
0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,pub.1060526366,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036672619,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1021269295,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1052927928,5
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.2,0.0,pub.1060593291,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1157670532,5
4.6,0.0,0.6,0.6,2.6,0.6,0.0,1.8,0.0,pub.1016609788,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1057680738,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1145023505,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1085445133,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1055147480,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1030436107,5
0.0,0.0,4.6,0.0,0.0,0.0,0.0,4.8,0.0,pub.1060825048,5
0.4,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1034854319,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060546635,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1061196893,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060557337,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1050602337,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036140196,5
4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060556044,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1154343973,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,pub.1000072260,5
0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,pub.1136992055,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1049851148,5
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060629323,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1101547463,5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,pub.1026717985,5
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1083739280,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1144369358,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1147659322,5
0.2,0.0,5.0,0.0,4.4,0.0,0.0,0.0,0.0,pub.1182835150,5
3.2,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,pub.1060786245,5
0.0,0.0,5.0,0.0,0.0,2.2,0.0,1.0,0.0,pub.1029405800,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1010483000,5
0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,pub.1043660958,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060699465,5
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1024375078,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1121400800,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,pub.1084125976,5
0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.2,0.0,pub.1036864469,5
