paper_idx,para_idx,GPT_output
1,0,"{""system"":""transmon qubit coupled to a superconducting resonator (circuit QED)"",""model"":""transmon model / circuit QED"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
0,0,"{""system"":""1T-VSe2; layered transition metal dichalcogenide"",""model"":""High-pressure transport measurements (resistivity, magnetoresistance, Hall effect)"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":5,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
3,0,"{""system"": ""Bi2Sr2CaCu2O8 (Bi-2212); cuprate superconductor"", ""model"": ""Experimental study; structural and transport measurements"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
4,0,"{""system"":""REBCO (rare-earth barium cuprate) 2G HTS wires on Hastelloy C276 substrate"",""model"":""IBAD-MOCVD fabrication and characterization; transport measurements"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
2,0,"{""system"":""Quantum dot coupled to a topological superconductor and a normal lead"",""model"":""Anderson/Kondo impurity model coupled to Majorana zero mode; renormalization-group, slave-boson mean-field, DMRG"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
6,0,"{""system"":""Fenna–Matthews–Olson (FMO) photosynthetic complex simulated with superconducting circuits; open quantum system simulation"",""model"":""Analog quantum simulator using superconducting circuits; open quantum system approach"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
5,0,"{""system"": ""Bi2Sr2CaCu2O8+δ; cuprate"", ""model"": ""tunneling spectroscopy (break-junction Josephson IcRn measurements)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
7,0,"{""system"": ""2D surface superconductivity; surface superconductor"", ""model"": ""LOFF (FFLO) mean-field theory including spin-orbit coupling"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
8,0,"{""system"":""Twisted bilayer graphene; moiré graphene superlattice"",""model"":""Effective low-energy field theory / topological band analysis (Wess-Zumino-Witten terms)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":3.0,""spin liquid el correlation"":4.0}"
10,0,"{""system"": ""RRh4B4; RxMo6S8; RxMo6Se6; rare-earth ternary superconductors"", ""model"": ""Boson theory reformulated for mixed state (self-consistent vortex current and spin magnetization calculations)"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
