paper_idx,para_idx,GPT_output
0,0,"{""system"":""1T-VSe2; transition-metal dichalcogenide (single crystals)"",""model"":""High-pressure transport: resistance, magnetoresistance, and Hall measurements under quasihydrostatic pressure"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":5.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
0,3,"{""system"": ""1T-VSe2; transition-metal dichalcogenide (single crystal)"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 5.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
0,2,"{""system"": ""1T-VSe2; layered transition-metal dichalcogenide"", ""model"": ""High-pressure transport measurements (resistivity, magnetoresistance, Hall effect)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 5.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
0,1,"{""system"":""1T-VSe2; transition-metal dichalcogenide"",""model"":""High-pressure transport (resistance, magnetoresistance, Hall) measurements"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":5,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
1,0,"{""system"":""Transmon qubit coupled to a superconducting resonator; superconducting circuit (circuit QED)"",""model"":""circuit QED experiment"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
1,1,"{""system"": ""Flux-modulated transmon qubit coupled to a superconducting resonator; circuit QED experiment"", ""model"": ""circuit QED (flux-modulated transmon)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
1,2,"{""system"": ""Transmon qubit coupled to a superconducting resonator; circuit QED"", ""model"": ""Circuit quantum electrodynamics (frequency-modulated transmon)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
0,4,"{""system"": ""1T-VSe2; transition metal dichalcogenide"", ""model"": ""High-pressure transport (resistivity, magnetoresistance, Hall) measurements"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 5.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
1,3,"{""system"": ""Transmon qubit and superconducting resonator; circuit QED"", ""model"": ""circuit QED (experimental)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
1,4,"{""system"":""Transmon qubit coupled to a superconducting resonator; circuit QED"",""model"":""Circuit QED (driven transmon–resonator Hamiltonian, frequency modulation)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
2,0,"{
  ""system"": ""Quantum dot coupled to a topological superconductor and a normal lead"",
  ""model"": ""Kondo/Anderson impurity model with Majorana coupling; renormalization-group, slave-boson mean-field theory, density-matrix renormalization-group (DMRG)"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
