source,target
pub.1063136659,pub.1060437772
pub.1063136659,pub.1029610364
pub.1063136364,pub.1021709972
pub.1063136364,pub.1060682714
pub.1063131508,pub.1060423640
pub.1063131508,pub.1039060951
pub.1063107037,pub.1063105845
pub.1063107037,pub.1060785408
pub.1063107037,pub.1034236567
pub.1063107037,pub.1060530756
pub.1063107037,pub.1046871568
pub.1063107037,pub.1060786955
pub.1063106031,pub.1063105845
pub.1063106031,pub.1060521421
pub.1063106031,pub.1060785408
pub.1063105845,pub.1060785408
pub.1063105845,pub.1060527730
pub.1063105845,pub.1060521421
pub.1063105845,pub.1060526694
pub.1063105150,pub.1060428562
pub.1063105150,pub.1039060951
pub.1063105150,pub.1063104022
pub.1063105150,pub.1060436786
pub.1063105150,pub.1049401911
pub.1063105150,pub.1060437772
pub.1063104022,pub.1060521131
pub.1063104022,pub.1060428471
pub.1063104022,pub.1060424888
pub.1063104022,pub.1039060951
pub.1063104022,pub.1007373433
pub.1063104022,pub.1060609974
pub.1063104022,pub.1049401911
pub.1060838993,pub.1049401911
pub.1060838993,pub.1006762438
pub.1060838802,pub.1057732992
pub.1060838802,pub.1057742160
pub.1060838802,pub.1060434716
pub.1060838802,pub.1060442900
pub.1060838802,pub.1060572171
pub.1060838802,pub.1013682525
pub.1060838802,pub.1060776058
pub.1060838802,pub.1060423640
pub.1060838802,pub.1060778216
pub.1060838802,pub.1060535553
pub.1060838802,pub.1060778406
pub.1060838802,pub.1060432810
pub.1060838802,pub.1049365196
pub.1060838802,pub.1060437772
pub.1060789424,pub.1060522204
pub.1060789424,pub.1060437772
pub.1060789424,pub.1060530148
pub.1060789424,pub.1059081596
pub.1060789424,pub.1060786050
pub.1060789424,pub.1060784329
pub.1060789424,pub.1060788509
pub.1060789424,pub.1060787673
pub.1060788887,pub.1060525285
pub.1060788887,pub.1060785737
pub.1060788887,pub.1060528591
pub.1060788887,pub.1011327460
pub.1060788887,pub.1060785736
pub.1060788887,pub.1060526473
pub.1060788887,pub.1060786882
pub.1060788509,pub.1060787673
pub.1060788509,pub.1060784329
pub.1060788509,pub.1060788088
pub.1060787673,pub.1060784329
pub.1060787673,pub.1039015659
pub.1060787673,pub.1060525285
pub.1060787673,pub.1057934418
pub.1060787638,pub.1060786151
pub.1060787638,pub.1060785564
pub.1060787638,pub.1060781639
pub.1060787638,pub.1016714415
pub.1060786955,pub.1034236567
pub.1060786882,pub.1016604408
pub.1060786882,pub.1060420507
pub.1060786882,pub.1060785736
pub.1060786882,pub.1051834348
pub.1060786882,pub.1060422527
pub.1060786882,pub.1060785737
pub.1060786882,pub.1060421010
pub.1060786882,pub.1021709972
pub.1060786815,pub.1060628906
pub.1060786815,pub.1060777015
pub.1060786815,pub.1046718044
pub.1060786245,pub.1060784109
pub.1060786245,pub.1017101813
pub.1060786235,pub.1060527730
pub.1060786235,pub.1060521421
pub.1060786191,pub.1060781639
pub.1060786191,pub.1028681795
pub.1060786191,pub.1060784833
pub.1060786191,pub.1060783489
pub.1060786151,pub.1060784833
pub.1060786151,pub.1060783489
pub.1060786151,pub.1039015659
pub.1060786151,pub.1060781639
pub.1060786151,pub.1040275803
pub.1060786050,pub.1060525285
pub.1060786050,pub.1060520605
pub.1060786050,pub.1060784109
pub.1060785737,pub.1060785736
pub.1060785737,pub.1060520335
pub.1060785737,pub.1019208707
pub.1060785737,pub.1039060951
pub.1060785736,pub.1060520335
pub.1060785736,pub.1060785737
pub.1060785564,pub.1060781639
pub.1060785564,pub.1060783489
pub.1060785564,pub.1040275803
pub.1060785564,pub.1026119851
pub.1060785564,pub.1060784833
pub.1060785408,pub.1060521421
pub.1060785408,pub.1060526694
pub.1060785322,pub.1060439896
pub.1060785322,pub.1060441338
pub.1060785322,pub.1060436786
pub.1060785315,pub.1060523505
pub.1060785303,pub.1060778200
pub.1060785272,pub.1052593418
pub.1060785272,pub.1039060951
pub.1060785272,pub.1060609974
pub.1060785213,pub.1060437772
pub.1060785213,pub.1059084234
pub.1060785213,pub.1060522544
pub.1060785213,pub.1047493459
pub.1060784833,pub.1060783489
pub.1060784833,pub.1060524469
pub.1060784329,pub.1060781639
pub.1060784329,pub.1043095504
pub.1060784329,pub.1015604015
pub.1060784329,pub.1027422944
pub.1060784109,pub.1013194274
pub.1060784109,pub.1060437772
pub.1060784109,pub.1060522412
pub.1060784109,pub.1060522544
pub.1060784109,pub.1060775947
pub.1060783853,pub.1060424888
pub.1060783853,pub.1060782521
pub.1060783853,pub.1060775947
pub.1060783853,pub.1060524682
pub.1060783853,pub.1057732992
pub.1060783853,pub.1060520605
pub.1060783489,pub.1060781639
pub.1060783396,pub.1060522204
pub.1060783396,pub.1060437772
pub.1060783396,pub.1060780010
pub.1060783396,pub.1039060951
pub.1060783396,pub.1060520605
pub.1060783259,pub.1060437772
pub.1060783259,pub.1060523759
pub.1060783259,pub.1060520605
pub.1060783097,pub.1031596324
pub.1060783097,pub.1060780010
pub.1060783097,pub.1060523406
pub.1060783097,pub.1060522544
pub.1060783097,pub.1060778544
pub.1060783057,pub.1060519380
pub.1060783057,pub.1060521823
pub.1060782929,pub.1060781639
pub.1060782929,pub.1015604015
pub.1060782521,pub.1060520605
pub.1060782521,pub.1060780010
pub.1060782521,pub.1060522204
pub.1060782521,pub.1060437772
pub.1060781969,pub.1060519004
pub.1060781969,pub.1058967163
pub.1060781969,pub.1060775947
pub.1060781969,pub.1013194274
pub.1060781969,pub.1060520605
pub.1060781969,pub.1060437772
pub.1060781969,pub.1029339151
pub.1060781969,pub.1060779417
pub.1060781969,pub.1011069686
pub.1060781969,pub.1035801402
pub.1060781128,pub.1010591488
pub.1060781128,pub.1039060951
pub.1060780859,pub.1013194274
pub.1060780716,pub.1060775873
pub.1060780716,pub.1008502128
pub.1060780716,pub.1060776249
pub.1060780716,pub.1060629323
pub.1060780716,pub.1060777896
pub.1060780358,pub.1060773159
pub.1060780358,pub.1060520605
pub.1060780358,pub.1060437772
pub.1060780358,pub.1060433362
pub.1060780358,pub.1008502128
pub.1060780358,pub.1060776058
pub.1060779417,pub.1008502128
pub.1060779417,pub.1011069686
pub.1060779417,pub.1060775947
pub.1060779417,pub.1060437772
pub.1060779417,pub.1060777896
pub.1060778406,pub.1060778216
pub.1060778406,pub.1049365196
pub.1060778216,pub.1060572171
pub.1060778216,pub.1060535553
