id,year,cumulative_citations
pub.1060437772,1968,3
pub.1060437772,1969,10
pub.1060437772,1970,15
pub.1060437772,1971,18
pub.1060437772,1972,27
pub.1060437772,1973,36
pub.1060437772,1974,43
pub.1060437772,1975,50
pub.1060437772,1976,59
pub.1060437772,1977,65
pub.1060437772,1978,75
pub.1060437772,1979,78
pub.1060437772,1980,85
pub.1060437772,1981,89
pub.1060437772,1982,95
pub.1060437772,1983,100
pub.1060437772,1984,101
pub.1060437772,1985,103
pub.1060437772,1986,106
pub.1060437772,1987,117
pub.1060437772,1988,122
pub.1060437772,1989,128
pub.1060437772,1990,137
pub.1060437772,1991,142
pub.1060437772,1992,155
pub.1060437772,1993,158
pub.1060437772,1994,161
pub.1060437772,1995,165
pub.1060437772,1996,168
pub.1060437772,1997,174
pub.1060437772,1998,178
pub.1060437772,1999,179
pub.1060437772,2000,183
pub.1060437772,2001,207
pub.1060437772,2002,210
pub.1060437772,2003,216
pub.1060437772,2004,221
pub.1060437772,2005,231
pub.1060437772,2006,237
pub.1060437772,2007,241
pub.1060437772,2008,247
pub.1060437772,2009,258
pub.1060437772,2010,262
pub.1060437772,2011,269
pub.1060437772,2012,277
pub.1060437772,2013,282
pub.1060437772,2014,288
pub.1060437772,2015,295
pub.1060437772,2016,309
pub.1060437772,2017,319
pub.1060437772,2018,326
pub.1060437772,2019,339
pub.1060437772,2020,352
pub.1060437772,2021,368
pub.1060437772,2022,382
pub.1060437772,2023,395
pub.1060437772,2024,405
pub.1029610364,1977,1
pub.1029610364,2005,2
pub.1021709972,1974,1
pub.1021709972,1976,3
pub.1021709972,1981,4
pub.1021709972,1982,5
pub.1021709972,1998,6
pub.1021709972,1999,7
pub.1021709972,2002,8
pub.1021709972,2004,9
pub.1021709972,2008,10
pub.1021709972,2013,11
pub.1060682714,1976,2
pub.1060682714,2002,3
pub.1060423640,1963,2
pub.1060423640,1964,3
pub.1060423640,1967,4
pub.1060423640,1969,6
pub.1060423640,1971,7
pub.1060423640,1972,8
pub.1060423640,1975,10
pub.1060423640,1978,11
pub.1060423640,1980,12
pub.1060423640,1984,13
pub.1060423640,2015,14
pub.1039060951,1958,7
pub.1039060951,1959,14
pub.1039060951,1960,20
pub.1039060951,1961,25
pub.1039060951,1962,29
pub.1039060951,1963,37
pub.1039060951,1964,45
pub.1039060951,1965,52
pub.1039060951,1966,56
pub.1039060951,1967,59
pub.1039060951,1968,69
pub.1039060951,1969,73
pub.1039060951,1970,75
pub.1039060951,1971,77
pub.1039060951,1972,81
pub.1039060951,1973,87
pub.1039060951,1974,91
pub.1039060951,1975,94
pub.1039060951,1976,96
pub.1039060951,1977,97
pub.1039060951,1978,100
pub.1039060951,1979,103
pub.1039060951,1980,106
pub.1039060951,1982,110
pub.1039060951,1983,113
pub.1039060951,1984,115
pub.1039060951,1985,116
pub.1039060951,1986,118
pub.1039060951,1987,131
pub.1039060951,1988,141
pub.1039060951,1989,149
pub.1039060951,1990,158
pub.1039060951,1991,171
pub.1039060951,1992,179
pub.1039060951,1993,183
pub.1039060951,1994,186
pub.1039060951,1995,193
pub.1039060951,1996,198
pub.1039060951,1997,200
pub.1039060951,1998,207
pub.1039060951,1999,212
pub.1039060951,2000,216
pub.1039060951,2001,230
pub.1039060951,2002,237
pub.1039060951,2003,246
pub.1039060951,2004,254
pub.1039060951,2005,262
pub.1039060951,2006,271
pub.1039060951,2007,277
pub.1039060951,2008,280
pub.1039060951,2009,288
pub.1039060951,2010,296
pub.1039060951,2011,307
pub.1039060951,2012,314
pub.1039060951,2013,323
pub.1039060951,2014,330
pub.1039060951,2015,341
pub.1039060951,2016,360
pub.1039060951,2017,373
pub.1039060951,2018,388
pub.1039060951,2019,394
pub.1039060951,2020,402
pub.1039060951,2021,426
pub.1039060951,2022,443
pub.1039060951,2023,452
pub.1039060951,2024,461
pub.1063105845,1981,1
pub.1063105845,1982,2
pub.1063105845,1983,4
pub.1063105845,1986,6
pub.1063105845,1987,7
pub.1063105845,1988,8
pub.1063105845,1990,9
pub.1063105845,2000,10
pub.1063105845,2001,11
pub.1063105845,2002,13
pub.1063105845,2008,14
pub.1063105845,2009,17
pub.1063105845,2010,19
pub.1060785408,1981,4
pub.1060785408,1982,7
pub.1060785408,1983,8
pub.1060785408,1986,9
pub.1060785408,1987,10
pub.1060785408,1990,11
pub.1060785408,1993,12
pub.1060785408,2002,13
pub.1060785408,2004,14
pub.1034236567,1982,3
pub.1034236567,1983,6
pub.1034236567,1986,7
pub.1034236567,1990,8
pub.1034236567,2002,9
pub.1060530756,1982,1
pub.1060530756,1983,3
pub.1060530756,1990,4
pub.1060530756,1997,5
pub.1060530756,2000,6
pub.1060530756,2001,7
pub.1060530756,2002,8
pub.1060530756,2003,9
pub.1060530756,2004,11
pub.1060530756,2011,12
pub.1060530756,2017,13
pub.1046871568,1982,1
pub.1046871568,1983,2
pub.1046871568,1987,3
pub.1046871568,1990,4
pub.1046871568,2002,5
pub.1046871568,2003,6
pub.1060786955,1982,1
pub.1060786955,1983,4
pub.1060786955,1986,5
pub.1060786955,1990,6
pub.1060786955,1991,7
pub.1060786955,2002,8
pub.1060786955,2005,9
pub.1060786955,2006,10
pub.1060521421,1979,1
pub.1060521421,1980,2
pub.1060521421,1981,5
pub.1060521421,1982,7
pub.1060521421,1986,9
pub.1060521421,1987,11
pub.1060521421,1988,12
pub.1060521421,1990,13
pub.1060521421,1991,14
pub.1060521421,1994,15
pub.1060521421,1997,16
pub.1060521421,2000,17
pub.1060521421,2001,20
pub.1060521421,2002,21
pub.1060521421,2003,22
pub.1060521421,2009,23
pub.1060521421,2015,25
pub.1060521421,2016,26
pub.1060521421,2018,27
pub.1060521421,2022,28
pub.1060527730,1981,3
pub.1060527730,1982,4
pub.1060527730,1984,5
pub.1060527730,1995,6
pub.1060527730,2001,8
pub.1060527730,2002,10
pub.1060527730,2006,11
pub.1060527730,2007,12
pub.1060527730,2016,13
pub.1060527730,2021,14
pub.1060526694,1980,1
pub.1060526694,1981,2
pub.1060526694,1982,3
pub.1060526694,1987,4
pub.1060526694,1995,5
pub.1060526694,1996,6
pub.1060526694,1997,7
pub.1060526694,2000,8
pub.1060526694,2001,9
pub.1060526694,2002,10
pub.1060526694,2006,11
pub.1060526694,2008,12
pub.1060526694,2012,13
pub.1060526694,2015,14
pub.1060428562,1967,1
pub.1060428562,1969,2
pub.1060428562,1980,3
pub.1060428562,1988,4
pub.1060428562,2004,6
pub.1060428562,2005,7
pub.1060428562,2009,8
pub.1060428562,2011,9
pub.1060428562,2016,11
pub.1060428562,2019,12
pub.1060428562,2020,14
pub.1063104022,1980,1
pub.1063104022,1983,2
pub.1063104022,1984,3
pub.1063104022,1987,4
pub.1063104022,1993,5
pub.1063104022,2001,6
pub.1063104022,2003,7
pub.1063104022,2013,8
pub.1063104022,2015,9
pub.1063104022,2016,11
pub.1063104022,2017,12
pub.1063104022,2019,13
pub.1063104022,2020,16
pub.1063104022,2021,17
pub.1060436786,1969,2
pub.1060436786,1980,4
pub.1060436786,1981,5
pub.1060436786,1988,7
pub.1060436786,2004,8
pub.1060436786,2010,9
pub.1060436786,2011,11
pub.1060436786,2013,13
pub.1060436786,2015,14
pub.1060436786,2016,16
pub.1060436786,2017,17
pub.1060436786,2018,19
pub.1060436786,2019,22
pub.1060436786,2020,23
pub.1060436786,2021,24
pub.1060436786,2024,25
pub.1049401911,1975,2
pub.1049401911,1976,3
pub.1049401911,1978,4
pub.1049401911,1980,5
pub.1049401911,1981,6
pub.1049401911,1983,8
pub.1049401911,1987,9
pub.1049401911,1990,10
pub.1049401911,1997,11
pub.1049401911,2013,12
pub.1049401911,2016,13
pub.1049401911,2018,14
pub.1049401911,2019,15
pub.1049401911,2020,17
pub.1060521131,1978,1
pub.1060521131,1983,3
pub.1060521131,1984,4
pub.1060521131,1987,5
pub.1060428471,1968,1
pub.1060428471,1974,2
pub.1060428471,1976,3
pub.1060428471,1978,4
pub.1060428471,1981,7
pub.1060428471,1982,10
pub.1060428471,1983,12
pub.1060428471,1984,14
pub.1060428471,1986,15
pub.1060428471,1987,20
pub.1060428471,1988,22
pub.1060428471,1989,23
pub.1060428471,1990,27
pub.1060428471,1992,28
pub.1060428471,1993,29
pub.1060428471,1994,30
pub.1060428471,1995,31
pub.1060428471,1996,32
pub.1060428471,1997,33
pub.1060428471,1999,34
pub.1060428471,2000,35
pub.1060428471,2002,36
pub.1060428471,2003,37
pub.1060428471,2006,39
pub.1060428471,2008,40
pub.1060428471,2010,41
pub.1060428471,2011,44
pub.1060428471,2012,45
pub.1060428471,2013,46
pub.1060428471,2014,48
pub.1060428471,2016,49
pub.1060428471,2020,50
pub.1060428471,2022,52
pub.1060424888,1963,1
pub.1060424888,1964,2
pub.1060424888,1966,3
pub.1060424888,1968,5
pub.1060424888,1969,8
pub.1060424888,1970,10
pub.1060424888,1972,11
pub.1060424888,1973,13
pub.1060424888,1976,15
pub.1060424888,1977,16
pub.1060424888,1978,18
pub.1060424888,1979,19
pub.1060424888,1981,20
pub.1060424888,1982,21
pub.1060424888,1983,22
pub.1060424888,1987,24
pub.1060424888,1989,25
pub.1060424888,1990,30
pub.1060424888,1991,31
pub.1060424888,1992,34
pub.1060424888,1993,37
pub.1060424888,1994,40
pub.1060424888,1995,42
pub.1060424888,1996,43
pub.1060424888,1997,44
pub.1060424888,1998,45
pub.1060424888,1999,47
pub.1060424888,2000,48
pub.1060424888,2001,49
pub.1060424888,2002,50
pub.1060424888,2003,52
pub.1060424888,2004,53
pub.1060424888,2005,54
pub.1060424888,2008,55
pub.1060424888,2009,58
pub.1060424888,2010,59
pub.1060424888,2011,60
pub.1060424888,2012,61
pub.1060424888,2013,63
pub.1060424888,2015,66
pub.1060424888,2016,72
pub.1060424888,2017,74
pub.1060424888,2018,76
pub.1060424888,2019,79
pub.1060424888,2020,85
pub.1060424888,2021,94
pub.1060424888,2022,97
pub.1060424888,2023,101
pub.1060424888,2024,103
pub.1007373433,1976,1
pub.1007373433,1978,2
pub.1007373433,1984,3
pub.1007373433,1993,4
pub.1007373433,1994,5
pub.1060609974,1973,1
pub.1060609974,1975,2
pub.1060609974,1976,3
pub.1060609974,1978,4
pub.1060609974,1979,5
pub.1060609974,1980,6
pub.1060609974,1983,7
pub.1060609974,1984,8
pub.1060609974,1987,13
pub.1060609974,1988,15
pub.1060609974,1989,17
pub.1060609974,1990,19
pub.1060609974,1997,20
pub.1060609974,2004,21
pub.1060609974,2005,23
pub.1060609974,2006,25
pub.1060609974,2008,27
pub.1060609974,2010,28
pub.1060609974,2013,29
pub.1060609974,2014,31
pub.1060609974,2018,32
pub.1060609974,2022,33
pub.1006762438,1981,1
pub.1006762438,1983,2
pub.1057732992,1974,1
pub.1057732992,1975,4
pub.1057732992,1978,5
